Destination,Start date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,source
Sydney,2022-07-01,9.0,26.0,Male,Canada,Hostel,300.0,Plane,900.0,dataset_1
London,2022-06-10,5.0,38.0,Female,United Kingdom,Hotel,900.0,Train,150.0,dataset_1
Phuket,2022-09-05,7.0,45.0,Male,Singapore,Villa,2000.0,Plane,700.0,dataset_1
Rome,2022-05-01,7.0,31.0,Female,Italy,Hotel,1100.0,Train,250.0,dataset_1
Santorini,2022-07-15,7.0,27.0,Male,Greece,Airbnb,1000.0,Ferry,150.0,dataset_1
Dubai,2022-08-25,5.0,29.0,Female,United Arab Emirates,Hotel,1500.0,Car rental,300.0,dataset_1
Phnom Penh,2022-09-10,5.0,33.0,Male,Cambodia,Hostel,200.0,Plane,500.0,dataset_1
"Tokyo, Japan",2022-02-05,9.0,32.0,Female,American,Hotel,1000.0,Plane,700.0,dataset_1
"Paris, France",2022-03-15,7.0,47.0,Male,Canadian,Hotel,1200.0,Train,500.0,dataset_1
"Sydney, Aus",2022-05-01,11.0,26.0,Female,Chinese,Airbnb,800.0,Plane,1000.0,dataset_1
"Rome, Italy",2022-06-10,7.0,38.0,Male,Korean,Hotel,900.0,Train,400.0,dataset_1
"Bali, Indonesia",2022-07-20,10.0,29.0,Female,Korean,Hostel,500.0,Plane,800.0,dataset_1
"Cancun, Mexico",2022-08-08,8.0,41.0,Male,American,Hotel,1300.0,Plane,600.0,dataset_1
"Athens, Greece",2022-09-20,10.0,35.0,Female,Korean,Airbnb,700.0,Plane,900.0,dataset_1
"Tokyo, Japan",2022-10-05,8.0,24.0,Male,Korean,Hotel,1200.0,Plane,700.0,dataset_1
"Sydney, Aus",2022-11-11,10.0,30.0,Female,Chinese,Airbnb,900.0,Plane,1000.0,dataset_1
"Paris, France",2022-12-24,8.0,28.0,Male,American,Hostel,400.0,Plane,700.0,dataset_1
"Bali, Indonesia",2023-02-10,8.0,33.0,Female,Canadian,Hotel,800.0,Plane,800.0,dataset_1
"Paris, France",2023-05-01,6.0,35.0,Male,American,Hotel,5000.0,Airplane,2500.0,dataset_1
"Tokyo, Japan",2023-05-15,7.0,28.0,Female,British,Airbnb,7000.0,Train,1500.0,dataset_1
"Cape Town, South Africa",2023-06-01,9.0,45.0,Male,South African,Hostel,3000.0,Car,2000.0,dataset_1
"Sydney, Australia",2023-06-15,6.0,31.0,Female,Australian,Hotel,6000.0,Airplane,3000.0,dataset_1
"Rome, Italy",2023-07-01,7.0,42.0,Male,Korean,Airbnb,4000.0,Train,1500.0,dataset_1
"New York City, USA",2023-07-15,7.0,27.0,Female,American,Hotel,8000.0,Airplane,2500.0,dataset_1
"Rio de Janeiro, Brazil",2023-08-01,9.0,37.0,Male,Brazilian,Hostel,2500.0,Car,2000.0,dataset_1
"Vancouver, Canada",2023-08-15,6.0,29.0,Female,Canadian,Hotel,5000.0,Airplane,3000.0,dataset_1
"Bangkok, Thailand",2023-09-01,7.0,34.0,Male,Chinese,Hostel,2000.0,Train,1000.0,dataset_1
"Barcelona, Spain",2023-09-15,7.0,25.0,Female,Spanish,Airbnb,6000.0,Airplane,2500.0,dataset_1
"Auckland, New Zealand",2023-10-01,7.0,39.0,Male,New Zealander,Hotel,7000.0,Train,2500.0,dataset_1
Florianopolis (SC),2019-09-26,4.0,21.0,Male,,Hotel A,1252.08,First Class Flight,2726.67,dataset_2
Recife (PE),2019-09-30,4.0,21.0,Male,,Hotel A,1252.08,First Class Flight,2726.67,dataset_2
Salvador (BH),2019-10-10,2.0,21.0,Male,,Hotel K,526.82,First Class Flight,3215.9700000000003,dataset_2
Aracaju (SE),2019-10-12,2.0,21.0,Male,,Hotel K,526.82,First Class Flight,3215.9700000000003,dataset_2
Salvador (BH),2019-11-14,3.0,21.0,Male,,Hotel K,790.23,Economy Flight,1776.56,dataset_2
Aracaju (SE),2019-11-17,3.0,21.0,Male,,Hotel K,790.23,Economy Flight,1776.56,dataset_2
Salvador (BH),2019-12-12,4.0,21.0,Male,,Hotel K,1053.64,premium,2151.83,dataset_2
Brasilia (DF),2019-12-16,4.0,21.0,Male,,Hotel K,1053.64,premium,2151.83,dataset_2
Florianopolis (SC),2019-12-26,1.0,21.0,Male,,Hotel A,313.02,First Class Flight,2726.67,dataset_2
Recife (PE),2019-12-27,1.0,21.0,Male,,Hotel A,313.02,First Class Flight,2726.67,dataset_2
Natal (RN),2020-01-09,2.0,21.0,Male,,Hotel BD,485.76,premium,1037.83,dataset_2
Recife (PE),2020-01-11,2.0,21.0,Male,,Hotel BD,485.76,premium,1037.83,dataset_2
Aracaju (SE),2020-02-27,2.0,21.0,Male,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2020-02-29,2.0,21.0,Male,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Recife (PE),2020-04-16,4.0,21.0,Male,,Hotel AU,1251.32,Economy Flight,1289.02,dataset_2
Aracaju (SE),2020-04-20,4.0,21.0,Male,,Hotel AU,1251.32,Economy Flight,1289.02,dataset_2
Sao Paulo (SP),2020-05-07,2.0,21.0,Male,,Hotel AF,278.2,First Class Flight,1636.5900000000001,dataset_2
Brasilia (DF),2020-05-09,2.0,21.0,Male,,Hotel AF,278.2,First Class Flight,1636.5900000000001,dataset_2
Salvador (BH),2020-05-14,4.0,21.0,Male,,Hotel K,1053.64,premium,2183.49,dataset_2
Brasilia (DF),2020-05-18,4.0,21.0,Male,,Hotel K,1053.64,premium,2183.49,dataset_2
Sao Paulo (SP),2020-05-21,3.0,21.0,Male,,Hotel AF,417.3,premium,1536.93,dataset_2
Aracaju (SE),2020-05-24,3.0,21.0,Male,,Hotel AF,417.3,premium,1536.93,dataset_2
Natal (RN),2020-06-18,2.0,21.0,Male,,Hotel BD,485.76,First Class Flight,2625.97,dataset_2
Brasilia (DF),2020-06-20,2.0,21.0,Male,,Hotel BD,485.76,First Class Flight,2625.97,dataset_2
Salvador (BH),2020-06-25,1.0,21.0,Male,,Hotel K,263.41,Economy Flight,1546.0,dataset_2
Brasilia (DF),2020-06-26,1.0,21.0,Male,,Hotel K,263.41,Economy Flight,1546.0,dataset_2
Campo Grande (MS),2020-07-16,3.0,21.0,Male,,Hotel BW,181.17,premium,1823.99,dataset_2
Recife (PE),2020-07-19,3.0,21.0,Male,,Hotel BW,181.17,premium,1823.99,dataset_2
Salvador (BH),2020-07-23,4.0,21.0,Male,,Hotel K,1053.64,First Class Flight,2924.96,dataset_2
Recife (PE),2020-07-27,4.0,21.0,Male,,Hotel K,1053.64,First Class Flight,2924.96,dataset_2
Natal (RN),2020-08-06,1.0,21.0,Male,,Hotel BD,242.88,premium,1037.83,dataset_2
Recife (PE),2020-08-07,1.0,21.0,Male,,Hotel BD,242.88,premium,1037.83,dataset_2
Salvador (BH),2020-09-17,1.0,21.0,Male,,Hotel K,263.41,premium,2259.1800000000003,dataset_2
Recife (PE),2020-09-18,1.0,21.0,Male,,Hotel K,263.41,premium,2259.1800000000003,dataset_2
Campo Grande (MS),2020-10-01,2.0,21.0,Male,,Hotel BW,120.78,premium,1493.02,dataset_2
Brasilia (DF),2020-10-03,2.0,21.0,Male,,Hotel BW,120.78,premium,1493.02,dataset_2
Sao Paulo (SP),2020-10-08,3.0,21.0,Male,,Hotel AF,417.3,First Class Flight,1916.58,dataset_2
Aracaju (SE),2020-10-11,3.0,21.0,Male,,Hotel AF,417.3,First Class Flight,1916.58,dataset_2
Florianopolis (SC),2020-10-15,2.0,21.0,Male,,Hotel A,626.04,First Class Flight,2547.45,dataset_2
Recife (PE),2020-10-17,2.0,21.0,Male,,Hotel A,626.04,First Class Flight,2547.45,dataset_2
Aracaju (SE),2020-10-29,4.0,21.0,Male,,Hotel Z,832.16,premium,1768.0500000000002,dataset_2
Recife (PE),2020-11-02,4.0,21.0,Male,,Hotel Z,832.16,premium,1768.0500000000002,dataset_2
Aracaju (SE),2020-11-19,4.0,21.0,Male,,Hotel Z,832.16,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2020-11-23,4.0,21.0,Male,,Hotel Z,832.16,First Class Flight,2174.1099999999997,dataset_2
Rio de Janeiro (RJ),2020-12-24,1.0,21.0,Male,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Aracaju (SE),2020-12-25,1.0,21.0,Male,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Brasilia (DF),2021-02-18,4.0,21.0,Male,,Hotel BP,990.48,First Class Flight,2185.56,dataset_2
Aracaju (SE),2021-02-22,4.0,21.0,Male,,Hotel BP,990.48,First Class Flight,2185.56,dataset_2
Natal (RN),2021-04-15,4.0,21.0,Male,,Hotel BD,971.52,Economy Flight,1412.98,dataset_2
Brasilia (DF),2021-04-19,4.0,21.0,Male,,Hotel BD,971.52,Economy Flight,1412.98,dataset_2
Sao Paulo (SP),2021-05-20,3.0,21.0,Male,,Hotel AF,417.3,premium,1550.6799999999998,dataset_2
Aracaju (SE),2021-05-23,3.0,21.0,Male,,Hotel AF,417.3,premium,1550.6799999999998,dataset_2
Recife (PE),2021-05-27,1.0,21.0,Male,,Hotel AU,312.83,First Class Flight,1513.49,dataset_2
Brasilia (DF),2021-05-28,1.0,21.0,Male,,Hotel AU,312.83,First Class Flight,1513.49,dataset_2
Sao Paulo (SP),2019-10-03,1.0,37.0,Male,,Hotel AF,139.1,premium,1536.93,dataset_2
Aracaju (SE),2019-10-04,1.0,37.0,Male,,Hotel AF,139.1,premium,1536.93,dataset_2
Brasilia (DF),2019-10-17,1.0,37.0,Male,,Hotel BP,247.62,premium,1197.76,dataset_2
Recife (PE),2019-10-18,1.0,37.0,Male,,Hotel BP,247.62,premium,1197.76,dataset_2
Rio de Janeiro (RJ),2019-10-31,4.0,48.0,Female,,Hotel CB,663.96,Economy Flight,713.8299999999999,dataset_2
Brasilia (DF),2019-11-04,4.0,48.0,Female,,Hotel CB,663.96,Economy Flight,713.8299999999999,dataset_2
Campo Grande (MS),2019-11-07,3.0,48.0,Female,,Hotel BW,181.17,Economy Flight,1621.1,dataset_2
Aracaju (SE),2019-11-10,3.0,48.0,Female,,Hotel BW,181.17,Economy Flight,1621.1,dataset_2
Aracaju (SE),2019-12-05,4.0,48.0,Female,,Hotel Z,832.16,Economy Flight,1127.6,dataset_2
Brasilia (DF),2019-12-09,4.0,48.0,Female,,Hotel Z,832.16,Economy Flight,1127.6,dataset_2
Recife (PE),2019-12-26,3.0,48.0,Female,,Hotel AU,938.49,First Class Flight,1513.49,dataset_2
Brasilia (DF),2019-12-29,3.0,48.0,Female,,Hotel AU,938.49,First Class Flight,1513.49,dataset_2
Campo Grande (MS),2020-01-02,2.0,48.0,Female,,Hotel BW,120.78,First Class Flight,2971.17,dataset_2
Aracaju (SE),2020-01-04,2.0,48.0,Female,,Hotel BW,120.78,First Class Flight,2971.17,dataset_2
Salvador (BH),2020-01-09,1.0,48.0,Female,,Hotel K,263.41,premium,2259.1800000000003,dataset_2
Recife (PE),2020-01-10,1.0,48.0,Female,,Hotel K,263.41,premium,2259.1800000000003,dataset_2
Sao Paulo (SP),2020-01-23,4.0,48.0,Female,,Hotel AF,556.4,premium,1300.22,dataset_2
Brasilia (DF),2020-01-27,4.0,48.0,Female,,Hotel AF,556.4,premium,1300.22,dataset_2
Campo Grande (MS),2020-02-20,4.0,48.0,Female,,Hotel BW,241.56,Economy Flight,1621.1,dataset_2
Aracaju (SE),2020-02-24,4.0,48.0,Female,,Hotel BW,241.56,Economy Flight,1621.1,dataset_2
Recife (PE),2020-02-27,2.0,48.0,Female,,Hotel AU,625.66,Economy Flight,1265.72,dataset_2
Aracaju (SE),2020-02-29,2.0,48.0,Female,,Hotel AU,625.66,Economy Flight,1265.72,dataset_2
Salvador (BH),2020-03-12,2.0,48.0,Female,,Hotel K,526.82,First Class Flight,3243.73,dataset_2
Aracaju (SE),2020-03-14,2.0,48.0,Female,,Hotel K,526.82,First Class Flight,3243.73,dataset_2
Florianopolis (SC),2020-04-02,4.0,48.0,Female,,Hotel A,1252.08,premium,2324.5,dataset_2
Aracaju (SE),2020-04-06,4.0,48.0,Female,,Hotel A,1252.08,premium,2324.5,dataset_2
Aracaju (SE),2020-04-16,3.0,48.0,Female,,Hotel Z,624.12,First Class Flight,2300.66,dataset_2
Recife (PE),2020-04-19,3.0,48.0,Female,,Hotel Z,624.12,First Class Flight,2300.66,dataset_2
Campo Grande (MS),2020-04-23,2.0,48.0,Female,,Hotel BW,120.78,premium,1753.06,dataset_2
Recife (PE),2020-04-25,2.0,48.0,Female,,Hotel BW,120.78,premium,1753.06,dataset_2
Rio de Janeiro (RJ),2020-07-02,1.0,48.0,Female,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Aracaju (SE),2020-07-03,1.0,48.0,Female,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Florianopolis (SC),2020-07-16,3.0,48.0,Female,,Hotel A,939.06,First Class Flight,2547.45,dataset_2
Recife (PE),2020-07-19,3.0,48.0,Female,,Hotel A,939.06,First Class Flight,2547.45,dataset_2
Aracaju (SE),2020-10-15,2.0,48.0,Female,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2020-10-17,2.0,48.0,Female,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Campo Grande (MS),2020-11-05,4.0,48.0,Female,,Hotel BW,241.56,premium,2236.98,dataset_2
Aracaju (SE),2020-11-09,4.0,48.0,Female,,Hotel BW,241.56,premium,2236.98,dataset_2
Brasilia (DF),2020-11-26,2.0,48.0,Female,,Hotel BP,495.24,First Class Flight,1388.6100000000001,dataset_2
Recife (PE),2020-11-28,2.0,48.0,Female,,Hotel BP,495.24,First Class Flight,1388.6100000000001,dataset_2
Campo Grande (MS),2020-12-24,2.0,48.0,Female,,Hotel BW,120.78,Economy Flight,1223.1399999999999,dataset_2
Recife (PE),2020-12-26,2.0,48.0,Female,,Hotel BW,120.78,Economy Flight,1223.1399999999999,dataset_2
Natal (RN),2021-01-28,3.0,48.0,Female,,Hotel BD,728.64,First Class Flight,1328.13,dataset_2
Recife (PE),2021-01-31,3.0,48.0,Female,,Hotel BD,728.64,First Class Flight,1328.13,dataset_2
Aracaju (SE),2021-04-22,2.0,48.0,Female,,Hotel Z,416.08,premium,1671.98,dataset_2
Brasilia (DF),2021-04-24,2.0,48.0,Female,,Hotel Z,416.08,premium,1671.98,dataset_2
Campo Grande (MS),2021-05-13,3.0,48.0,Female,,Hotel BW,181.17,premium,2263.7799999999997,dataset_2
Aracaju (SE),2021-05-16,3.0,48.0,Female,,Hotel BW,181.17,premium,2263.7799999999997,dataset_2
Aracaju (SE),2021-07-01,3.0,48.0,Female,,Hotel Z,624.12,premium,1768.0500000000002,dataset_2
Recife (PE),2021-07-04,3.0,48.0,Female,,Hotel Z,624.12,premium,1768.0500000000002,dataset_2
Sao Paulo (SP),2021-07-08,2.0,48.0,Female,,Hotel AF,278.2,premium,1336.06,dataset_2
Brasilia (DF),2021-07-10,2.0,48.0,Female,,Hotel AF,278.2,premium,1336.06,dataset_2
Salvador (BH),2021-07-15,4.0,48.0,Female,,Hotel K,1053.64,First Class Flight,3243.73,dataset_2
Aracaju (SE),2021-07-19,4.0,48.0,Female,,Hotel K,1053.64,First Class Flight,3243.73,dataset_2
Florianopolis (SC),2021-08-05,4.0,48.0,Female,,Hotel A,1252.08,Economy Flight,1521.45,dataset_2
Brasilia (DF),2021-08-09,4.0,48.0,Female,,Hotel A,1252.08,Economy Flight,1521.45,dataset_2
Florianopolis (SC),2021-09-09,3.0,48.0,Female,,Hotel A,939.06,premium,2036.79,dataset_2
Brasilia (DF),2021-09-12,3.0,48.0,Female,,Hotel A,939.06,premium,2036.79,dataset_2
Florianopolis (SC),2021-10-07,2.0,48.0,Female,,Hotel A,626.04,First Class Flight,3164.51,dataset_2
Aracaju (SE),2021-10-09,2.0,48.0,Female,,Hotel A,626.04,First Class Flight,3164.51,dataset_2
Rio de Janeiro (RJ),2021-11-04,2.0,48.0,Female,,Hotel CB,331.98,First Class Flight,1130.58,dataset_2
Brasilia (DF),2021-11-06,2.0,48.0,Female,,Hotel CB,331.98,First Class Flight,1130.58,dataset_2
